date,key,election_key,type,subtype,name,original_date,state,county,postmark_too_late
2020-03-03 00:00:00,20200303,,election,,Presidential Primary (Democrats),2020-03-03 00:00:00,Virginia,,
2020-06-15 23:59:59,,20200623,reminder,absentee.received_by,Mail ballot,,Virginia,,True
2020-06-16 23:59:59,,20200623,reminder,absentee.received_by,Mail ballot at the post office,,Virginia,,True
2020-06-22 23:59:59,,20200623,reminder,poll.in_person_by,Plan to vote,,Virginia,,
2020-06-23 00:00:00,20200623,,election,,Congressional Primary,2020-06-23 00:00:00,Virginia,,
2020-06-23 23:59:59,,20200623,deadline,absentee.received_by,Last day for election officials to receive absentee ballots,,Virginia,,True
2020-06-23 23:59:59,,20200623,deadline,absentee.in_person_by,Last day to drop off an absentee ballot,,Virginia,,
2020-06-23 23:59:59,,20200623,deadline,poll.in_person_by,Last day to vote in person,,Virginia,,
2020-06-23 23:59:59,,20200623,reminder,absentee.in_person_by,Drop off ballot,,Virginia,,
2020-06-23 23:59:59,,20200623,reminder,poll.in_person_by,Vote in person,,Virginia,,
2020-10-04 23:59:59,,20201103,reminder,registration.received_by,Mail voter registration,,Virginia,,True
2020-10-05 23:59:59,,20201103,reminder,registration.received_by,Mail voter registration at the post office,,Virginia,,True
2020-10-12 23:59:59,,20201103,deadline,registration.received_by,Last day for election officials to receive voter registration form,,Virginia,,True
2020-10-12 23:59:59,,20201103,deadline,registration.in_person_by,Last day to register to vote in person,,Virginia,,
2020-10-12 23:59:59,,20201103,deadline,registration.online_by,Last day to register to vote online,,Virginia,,
2020-10-12 23:59:59,,20201103,reminder,registration.in_person_by,Register to vote in person,,Virginia,,
2020-10-12 23:59:59,,20201103,reminder,registration.online_by,Register to vote online,,Virginia,,
2020-10-29 23:59:59,,20201103,reminder,absentee.received_by,Mail ballot,,Virginia,,True
2020-10-30 23:59:59,,20201103,reminder,absentee.received_by,Mail ballot at the post office,,Virginia,,True
2020-11-02 23:59:59,,20201103,reminder,poll.in_person_by,Plan to vote,,Virginia,,
2020-11-03 00:00:00,20201103,,election,,General (Presidential) Election,2020-11-03 00:00:00,Virginia,,
2020-11-03 23:59:59,,20201103,deadline,absentee.postmarked_by,Last day to postmark absentee ballots,,Virginia,,True
2020-11-03 23:59:59,,20201103,deadline,poll.in_person_by,Last day to vote in person,,Virginia,,
2020-11-03 23:59:59,,20201103,reminder,poll.in_person_by,Vote in person,,Virginia,,
2020-11-06 23:59:59,,20201103,deadline,absentee.received_by,Last day for election officials to receive absentee ballots,,Virginia,,True
